file_name,mem_usage_mb,peak_mem_mb,avg_mem_petri_parser_mb,peak_mem_petri_parser_mb,avg_mem_dec_translator_mb,peak_mem_dec_translator_mb,time_ms
1816.pnml,117.84,21.17,14.31,16.09,19.26,21.17,22368.84
1817.pnml,117.96,21.18,14.32,16.10,19.27,21.18,21975.79
1818.pnml,118.10,21.19,14.32,16.11,19.28,21.19,22299.35
1819.pnml,118.14,21.20,14.33,16.12,19.29,21.20,22659.63
181.pnml,29.38,2.11,1.44,1.62,1.94,2.11,281.51
1820.pnml,118.06,21.21,14.34,16.13,19.30,21.21,22994.94
1821.pnml,118.12,21.42,14.35,16.14,19.31,21.42,22122.01
1822.pnml,118.24,21.43,14.35,16.15,19.32,21.43,22307.79
1823.pnml,118.14,21.44,14.36,16.15,19.34,21.44,22801.15
1824.pnml,118.35,21.45,14.37,16.16,19.35,21.45,22844.20
1825.pnml,118.32,21.46,14.38,16.17,19.36,21.46,22961.89
1826.pnml,118.30,21.47,14.38,16.18,19.37,21.47,22309.29
1827.pnml,118.37,21.48,14.39,16.19,19.38,21.48,22350.10
1828.pnml,118.56,21.50,14.40,16.20,19.39,21.50,23045.83
1829.pnml,118.56,21.51,14.41,16.20,19.40,21.51,23084.39
182.pnml,29.64,2.12,1.45,1.63,1.95,2.12,297.62
1830.pnml,118.62,21.52,14.41,16.21,19.41,21.52,23182.26
1831.pnml,118.56,21.53,14.42,16.22,19.42,21.53,23127.21
1832.pnml,118.75,21.54,14.43,16.23,19.43,21.54,22947.49
1833.pnml,118.66,21.55,14.44,16.24,19.44,21.55,22897.98
1834.pnml,118.81,21.56,14.45,16.25,19.45,21.56,23055.17
1835.pnml,118.87,21.57,14.45,16.26,19.46,21.57,23439.45
1836.pnml,118.90,21.58,14.46,16.26,19.47,21.58,25972.17
1837.pnml,118.73,21.59,14.47,16.27,19.48,21.59,23007.61
1838.pnml,119.03,21.60,14.48,16.28,19.49,21.60,23313.06
1839.pnml,118.88,21.61,14.48,16.29,19.50,21.61,23320.27
183.pnml,29.54,2.13,1.46,1.64,1.96,2.13,289.31
1840.pnml,119.00,21.62,14.49,16.30,19.51,21.62,23268.59
1841.pnml,119.25,21.63,14.50,16.31,19.52,21.63,22539.91
1842.pnml,119.22,21.65,14.51,16.32,19.53,21.65,23275.43
1843.pnml,119.43,21.66,14.51,16.32,19.54,21.66,23163.43
1844.pnml,119.39,21.67,14.52,16.33,19.55,21.67,23136.20
1845.pnml,119.40,21.68,14.53,16.34,19.56,21.68,23197.40
