filename,transitions,places,nodes
561.pnml,3935,3374,8994
369.pnml,2591,2222,5922
624.pnml,4376,3752,10002
838.pnml,5874,5036,13426
797.pnml,5587,4790,12770
531.pnml,3725,3194,8514
851.pnml,5965,5114,13634
137.pnml,967,830,2210
153.pnml,1079,926,2466
87.pnml,617,530,1410
902.pnml,6322,5420,14450
426.pnml,2990,2564,6834
314.pnml,2206,1892,5042
726.pnml,5090,4364,11634
987.pnml,6917,5930,15810
837.pnml,5867,5030,13410
230.pnml,1618,1388,3698
499.pnml,3501,3002,8002
810.pnml,5678,4868,12978
555.pnml,3893,3338,8898
787.pnml,5517,4730,12610
824.pnml,5776,4952,13202
845.pnml,5923,5078,13538
591.pnml,4145,3554,9474
915.pnml,6413,5498,14658
569.pnml,3991,3422,9122
41.pnml,295,254,674
480.pnml,3368,2888,7698
503.pnml,3529,3026,8066
854.pnml,5986,5132,13682
98.pnml,694,596,1586
790.pnml,5538,4748,12658
95.pnml,673,578,1538
448.pnml,3144,2696,7186
337.pnml,2367,2030,5410
187.pnml,1317,1130,3010
728.pnml,5104,4376,11666
321.pnml,2255,1934,5154
868.pnml,6084,5216,13906
255.pnml,1793,1538,4098
68.pnml,484,416,1106
709.pnml,4971,4262,11362
376.pnml,2640,2264,6034
618.pnml,4334,3716,9906
281.pnml,1975,1694,4514
974.pnml,6826,5852,15602
820.pnml,5748,4928,13138
714.pnml,5006,4292,11442
450.pnml,3158,2708,7218
588.pnml,4124,3536,9426
800.pnml,5608,4808,12818
482.pnml,3382,2900,7730
334.pnml,2346,2012,5362
61.pnml,435,374,994
566.pnml,3970,3404,9074
366.pnml,2570,2204,5874
926.pnml,6490,5564,14834
439.pnml,3081,2642,7042
944.pnml,6616,5672,15122
300.pnml,2108,1808,4818
660.pnml,4628,3968,10578
228.pnml,1604,1376,3666
304.pnml,2136,1832,4882
956.pnml,6700,5744,15314
612.pnml,4292,3680,9810
221.pnml,1555,1334,3554
396.pnml,2780,2384,6354
348.pnml,2444,2096,5586
19.pnml,141,122,322
647.pnml,4537,3890,10370
598.pnml,4194,3596,9586
214.pnml,1506,1292,3442
965.pnml,6763,5798,15458
287.pnml,2017,1730,4610
380.pnml,2668,2288,6098
65.pnml,463,398,1058
382.pnml,2682,2300,6130
458.pnml,3214,2756,7346
498.pnml,3494,2996,7986
40.pnml,288,248,658
712.pnml,4992,4280,11410
999.pnml,7001,6002,16002
734.pnml,5146,4412,11762
847.pnml,5937,5090,13570
551.pnml,3865,3314,8834
542.pnml,3802,3260,8690
858.pnml,6014,5156,13746
387.pnml,2717,2330,6210
194.pnml,1366,1172,3122
945.pnml,6623,5678,15138
560.pnml,3928,3368,8978
831.pnml,5825,4994,13314
100.pnml,708,608,1618
630.pnml,4418,3788,10098
6.pnml,50,44,114
186.pnml,1310,1124,2994
514.pnml,3606,3092,8242
529.pnml,3711,3182,8482
700.pnml,4908,4208,11218
462.pnml,3242,2780,7410
580.pnml,4068,3488,9298
282.pnml,1982,1700,4530
198.pnml,1394,1196,3186
911.pnml,6385,5474,14594
416.pnml,2920,2504,6674
602.pnml,4222,3620,9650
64.pnml,456,392,1042
352.pnml,2472,2120,5650
268.pnml,1884,1616,4306
260.pnml,1828,1568,4178
736.pnml,5160,4424,11794
518.pnml,3634,3116,8306
867.pnml,6077,5210,13890
610.pnml,4278,3668,9778
151.pnml,1065,914,2434
342.pnml,2402,2060,5490
451.pnml,3165,2714,7234
834.pnml,5846,5012,13362
821.pnml,5755,4934,13154
341.pnml,2395,2054,5474
823.pnml,5769,4946,13186
806.pnml,5650,4844,12914
900.pnml,6308,5408,14418
495.pnml,3473,2978,7938
615.pnml,4313,3698,9858
779.pnml,5461,4682,12482
925.pnml,6483,5558,14818
512.pnml,3592,3080,8210
762.pnml,5342,4580,12210
966.pnml,6770,5804,15474
217.pnml,1527,1310,3490
431.pnml,3025,2594,6914
433.pnml,3039,2606,6946
741.pnml,5195,4454,11874
758.pnml,5314,4556,12146
538.pnml,3774,3236,8626
18.pnml,134,116,306
536.pnml,3760,3224,8594
236.pnml,1660,1424,3794
56.pnml,400,344,914
313.pnml,2199,1886,5026
27.pnml,197,170,450
765.pnml,5363,4598,12258
729.pnml,5111,4382,11682
929.pnml,6511,5582,14882
245.pnml,1723,1478,3938
737.pnml,5167,4430,11810
285.pnml,2003,1718,4578
311.pnml,2185,1874,4994
130.pnml,918,788,2098
727.pnml,5097,4370,11650
3.pnml,29,26,66
826.pnml,5790,4964,13234
716.pnml,5020,4304,11474
286.pnml,2010,1724,4594
747.pnml,5237,4490,11970
739.pnml,5181,4442,11842
522.pnml,3662,3140,8370
239.pnml,1681,1442,3842
52.pnml,372,320,850
347.pnml,2437,2090,5570
563.pnml,3949,3386,9026
104.pnml,736,632,1682
263.pnml,1849,1586,4226
240.pnml,1688,1448,3858
557.pnml,3907,3350,8930
37.pnml,267,230,610
336.pnml,2360,2024,5394
485.pnml,3403,2918,7778
628.pnml,4404,3776,10066
175.pnml,1233,1058,2818
404.pnml,2836,2432,6482
