file_name,mem_usage_mb,peak_mem_mb,avg_mem_overall_mb,avg_mem_petri_parser_mb,peak_mem_petri_parser_mb,avg_mem_dec_translator_mb,peak_mem_dec_translator_mb,time_ms
513.pnml,50.81,7.43,3.88,,,,,213.00
514.pnml,50.97,7.45,3.89,,,,,224.20
515.pnml,51.01,7.46,3.90,,,,,227.17
516.pnml,51.05,7.48,3.90,,,,,209.37
517.pnml,51.09,7.49,3.91,,,,,214.24
518.pnml,51.12,7.50,3.92,,,,,219.61
519.pnml,51.16,7.52,3.93,,,,,223.36
51.pnml,22.73,0.77,0.40,,,,,27.56
520.pnml,51.20,7.53,3.93,,,,,206.80
521.pnml,51.36,7.54,3.94,,,,,224.09
522.pnml,51.40,7.56,3.95,,,,,222.83
523.pnml,51.38,7.58,3.96,,,,,221.00
524.pnml,51.54,7.60,3.97,,,,,211.73
525.pnml,51.55,7.61,3.98,,,,,220.83
526.pnml,51.60,7.62,3.99,,,,,220.15
527.pnml,51.76,7.64,4.00,,,,,227.15
528.pnml,51.79,7.65,4.00,,,,,228.46
529.pnml,51.95,7.66,4.01,,,,,222.06
52.pnml,22.62,0.79,0.41,,,,,25.85
530.pnml,51.86,7.68,4.02,,,,,214.15
531.pnml,51.88,7.69,4.02,,,,,218.70
532.pnml,52.04,7.70,4.03,,,,,232.67
533.pnml,51.97,7.72,4.04,,,,,225.42
534.pnml,52.07,7.73,4.05,,,,,235.00
535.pnml,52.13,7.74,4.05,,,,,211.90
536.pnml,52.17,7.76,4.06,,,,,225.87
537.pnml,52.21,7.77,4.07,,,,,221.66
538.pnml,52.24,7.78,4.08,,,,,226.35
539.pnml,52.39,7.80,4.08,,,,,232.35
53.pnml,22.86,0.80,0.41,,,,,26.74
540.pnml,52.43,7.81,4.09,,,,,219.74
541.pnml,52.46,7.83,4.10,,,,,227.63
542.pnml,52.50,7.84,4.11,,,,,228.77
543.pnml,52.62,7.85,4.12,,,,,225.72
544.pnml,52.68,7.87,4.12,,,,,225.91
545.pnml,52.71,7.88,4.13,,,,,229.30
546.pnml,52.86,7.89,4.14,,,,,229.82
547.pnml,52.78,7.91,4.14,,,,,215.44
548.pnml,52.71,7.92,4.15,,,,,232.36
549.pnml,52.96,7.93,4.16,,,,,238.43
54.pnml,22.98,0.82,0.42,,,,,25.85
550.pnml,53.00,7.95,4.17,,,,,220.82
551.pnml,53.03,7.96,4.17,,,,,227.28
552.pnml,52.83,7.97,4.18,,,,,234.99
553.pnml,53.23,7.99,4.19,,,,,232.37
554.pnml,53.13,8.00,4.20,,,,,220.39
555.pnml,53.26,8.01,4.20,,,,,233.13
556.pnml,53.30,8.03,4.21,,,,,235.38
557.pnml,53.34,8.04,4.22,,,,,234.49
558.pnml,53.38,8.05,4.23,,,,,244.58
559.pnml,53.29,8.07,4.23,,,,,244.85
55.pnml,22.98,0.83,0.43,,,,,27.21
560.pnml,53.57,8.08,4.24,,,,,230.06
561.pnml,53.41,8.09,4.25,,,,,241.79
562.pnml,53.77,8.11,4.25,,,,,240.25
563.pnml,53.67,8.12,4.26,,,,,243.06
564.pnml,53.71,8.13,4.27,,,,,241.83
565.pnml,53.85,8.15,4.28,,,,,247.06
566.pnml,53.70,8.16,4.28,,,,,238.66
567.pnml,53.95,8.17,4.29,,,,,236.99
