file_name,mem_usage_mb,peak_mem_mb,avg_mem_overall_mb,time_ms
410.pnml,21.16,0.46,0.27,18.79
411.pnml,21.48,0.46,0.27,18.62
412.pnml,20.85,0.46,0.27,21.62
413.pnml,21.43,0.46,0.27,19.09
414.pnml,21.16,0.46,0.27,18.61
415.pnml,21.43,0.46,0.27,21.36
416.pnml,21.09,0.46,0.27,19.04
417.pnml,21.49,0.46,0.27,18.60
418.pnml,21.59,0.46,0.27,19.23
419.pnml,21.21,0.46,0.27,19.10
41.pnml,19.14,0.08,0.04,2.39
420.pnml,21.27,0.46,0.27,18.91
421.pnml,21.38,0.46,0.27,18.65
422.pnml,21.45,0.47,0.27,19.71
423.pnml,21.39,0.47,0.27,19.28
424.pnml,21.48,0.47,0.27,20.31
425.pnml,21.46,0.47,0.27,19.62
426.pnml,21.43,0.47,0.28,18.99
427.pnml,21.47,0.47,0.28,18.95
428.pnml,21.23,0.47,0.28,19.99
429.pnml,21.60,0.47,0.28,18.65
42.pnml,19.42,0.08,0.04,2.53
430.pnml,21.62,0.47,0.28,18.90
431.pnml,21.40,0.47,0.28,19.31
432.pnml,21.60,0.48,0.28,20.25
433.pnml,21.50,0.48,0.28,19.32
434.pnml,21.63,0.48,0.28,19.41
435.pnml,21.48,0.48,0.28,20.12
436.pnml,21.61,0.48,0.28,18.92
437.pnml,21.62,0.48,0.28,19.68
438.pnml,21.52,0.48,0.28,20.17
439.pnml,21.48,0.48,0.28,19.08
43.pnml,19.34,0.09,0.04,2.41
440.pnml,20.97,0.48,0.28,19.39
441.pnml,21.45,0.48,0.28,19.67
442.pnml,21.54,0.48,0.29,20.18
443.pnml,21.57,0.52,0.29,20.11
444.pnml,21.65,0.52,0.29,19.94
445.pnml,21.53,0.53,0.29,20.37
446.pnml,21.72,0.53,0.29,20.09
447.pnml,21.59,0.53,0.29,19.98
448.pnml,21.46,0.53,0.29,20.48
449.pnml,21.52,0.53,0.29,19.73
44.pnml,19.39,0.09,0.04,2.46
450.pnml,21.36,0.53,0.29,20.46
451.pnml,21.55,0.53,0.29,20.69
452.pnml,21.39,0.53,0.29,22.95
453.pnml,21.52,0.53,0.29,20.81
454.pnml,21.59,0.53,0.29,20.13
455.pnml,21.58,0.53,0.29,21.40
456.pnml,21.73,0.54,0.29,21.06
457.pnml,21.34,0.54,0.30,20.85
458.pnml,21.59,0.54,0.30,21.05
459.pnml,21.68,0.54,0.30,20.60
45.pnml,19.46,0.09,0.04,2.51
460.pnml,21.36,0.54,0.30,20.66
461.pnml,21.57,0.54,0.30,20.42
462.pnml,21.43,0.54,0.30,20.77
463.pnml,21.66,0.54,0.30,21.01
464.pnml,21.75,0.54,0.30,20.86
465.pnml,21.40,0.54,0.30,20.47
466.pnml,21.57,0.54,0.30,21.54
467.pnml,21.07,0.54,0.30,24.90
468.pnml,21.76,0.54,0.30,20.42
469.pnml,21.73,0.55,0.30,20.47
46.pnml,19.29,0.09,0.04,2.54
470.pnml,21.77,0.55,0.30,21.16
471.pnml,21.64,0.55,0.30,21.56
472.pnml,21.84,0.55,0.30,20.90
473.pnml,21.75,0.55,0.30,21.13
474.pnml,21.80,0.55,0.31,21.36
475.pnml,21.43,0.55,0.31,22.48
476.pnml,21.30,0.55,0.31,21.05
477.pnml,21.68,0.55,0.31,20.77
478.pnml,21.63,0.55,0.31,21.46
479.pnml,21.80,0.55,0.31,24.37
47.pnml,19.25,0.09,0.04,2.57
480.pnml,21.74,0.55,0.31,21.44
481.pnml,21.67,0.56,0.31,21.57
482.pnml,21.88,0.56,0.31,21.26
483.pnml,21.79,0.56,0.31,22.44
484.pnml,21.73,0.56,0.31,23.72
485.pnml,21.66,0.56,0.31,22.94
486.pnml,21.82,0.56,0.31,21.51
487.pnml,21.70,0.56,0.31,21.99
488.pnml,21.86,0.56,0.31,20.76
489.pnml,21.87,0.56,0.31,22.94
48.pnml,19.41,0.09,0.04,2.75
490.pnml,21.86,0.56,0.32,21.40
491.pnml,21.52,0.56,0.32,21.28
492.pnml,21.81,0.56,0.32,22.29
493.pnml,21.90,0.57,0.32,22.56
494.pnml,21.89,0.57,0.32,21.97
495.pnml,21.82,0.57,0.32,21.90
496.pnml,21.73,0.57,0.32,23.73
497.pnml,21.99,0.57,0.32,22.73
498.pnml,21.87,0.57,0.32,21.85
499.pnml,21.88,0.57,0.32,22.52
49.pnml,19.20,0.09,0.04,2.87
4.pnml,19.13,0.05,0.01,1.04
500.pnml,21.92,0.57,0.32,21.89
501.pnml,21.85,0.57,0.32,21.99
502.pnml,21.66,0.57,0.32,22.52
503.pnml,21.82,0.57,0.32,22.76
504.pnml,21.79,0.57,0.32,22.82
505.pnml,21.64,0.58,0.32,23.37
506.pnml,21.71,0.58,0.32,23.11
507.pnml,21.72,0.58,0.33,23.12
508.pnml,21.92,0.58,0.33,22.22
509.pnml,21.56,0.58,0.33,22.87
50.pnml,19.31,0.09,0.04,2.85
510.pnml,21.93,0.58,0.33,22.45
511.pnml,21.70,0.58,0.33,22.86
512.pnml,22.00,0.58,0.33,22.80
513.pnml,21.98,0.58,0.33,23.40
514.pnml,21.98,0.58,0.33,22.21
515.pnml,21.72,0.58,0.33,22.46
516.pnml,21.77,0.58,0.33,23.29
517.pnml,22.09,0.59,0.33,23.36
518.pnml,21.92,0.59,0.33,22.95
519.pnml,21.95,0.59,0.33,22.83
51.pnml,19.25,0.09,0.04,2.76
520.pnml,21.67,0.59,0.33,22.62
521.pnml,22.14,0.59,0.33,23.17
